"File","Line","Reason"
"C:\Users\german.rojas\Desktop\Nueva carpeta\reservas-sk\Backend\services\api-gateway\src\test\java\com\reservas\sk\api_gateway\infrastructure\config\GatewayProxyConfigTest.java","31","not_single_line_assert"
"C:\Users\german.rojas\Desktop\Nueva carpeta\reservas-sk\Backend\services\auth-service\src\test\java\com\reservas\sk\auth_service\application\service\AuthApplicationServiceTest.java","56","not_single_line_assert"
"C:\Users\german.rojas\Desktop\Nueva carpeta\reservas-sk\Backend\services\auth-service\src\test\java\com\reservas\sk\auth_service\application\service\AuthApplicationServiceTest.java","57","not_single_line_assert"
"C:\Users\german.rojas\Desktop\Nueva carpeta\reservas-sk\Backend\services\auth-service\src\test\java\com\reservas\sk\auth_service\application\service\AuthApplicationServiceTest.java","58","not_single_line_assert"
"C:\Users\german.rojas\Desktop\Nueva carpeta\reservas-sk\Backend\services\auth-service\src\test\java\com\reservas\sk\auth_service\application\service\AuthApplicationServiceTest.java","65","not_single_line_assert"
"C:\Users\german.rojas\Desktop\Nueva carpeta\reservas-sk\Backend\services\auth-service\src\test\java\com\reservas\sk\auth_service\application\service\AuthApplicationServiceTest.java","66","not_single_line_assert"
"C:\Users\german.rojas\Desktop\Nueva carpeta\reservas-sk\Backend\services\auth-service\src\test\java\com\reservas\sk\auth_service\application\service\AuthApplicationServiceTest.java","67","not_single_line_assert"
"C:\Users\german.rojas\Desktop\Nueva carpeta\reservas-sk\Backend\services\auth-service\src\test\java\com\reservas\sk\auth_service\application\service\AuthApplicationServiceTest.java","68","not_single_line_assert"
"C:\Users\german.rojas\Desktop\Nueva carpeta\reservas-sk\Backend\services\auth-service\src\test\java\com\reservas\sk\auth_service\application\service\AuthApplicationServiceTest.java","76","not_single_line_assert"
"C:\Users\german.rojas\Desktop\Nueva carpeta\reservas-sk\Backend\services\auth-service\src\test\java\com\reservas\sk\auth_service\application\service\AuthApplicationServiceTest.java","77","not_single_line_assert"
"C:\Users\german.rojas\Desktop\Nueva carpeta\reservas-sk\Backend\services\auth-service\src\test\java\com\reservas\sk\auth_service\application\service\AuthApplicationServiceTest.java","91","not_single_line_assert"
"C:\Users\german.rojas\Desktop\Nueva carpeta\reservas-sk\Backend\services\auth-service\src\test\java\com\reservas\sk\auth_service\application\service\AuthApplicationServiceTest.java","92","not_single_line_assert"
"C:\Users\german.rojas\Desktop\Nueva carpeta\reservas-sk\Backend\services\auth-service\src\test\java\com\reservas\sk\auth_service\application\service\AuthApplicationServiceTest.java","93","not_single_line_assert"
